Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002  746.074  746.074 openrave.py:15(<module>)
        1    0.000    0.000  745.587  745.587 inversekinematics.py:1417(run)
        1    0.262    0.262  745.587  745.587 inversekinematics.py:1348(RunFromParser)
        1    0.006    0.006  745.232  745.232 __init__.py:276(RunFromParser)
        1    0.002    0.002  744.419  744.419 inversekinematics.py:715(autogenerate)
        1    0.001    0.001  744.416  744.416 inversekinematics.py:796(generate)
        1    0.001    0.001  739.619  739.619 ikfast.py:1861(generateIkSolver)
        1    0.000    0.000  739.543  739.543 inversekinematics.py:841(solveFullIK_TranslationDirection5D)
        1    0.001    0.001  739.543  739.543 ikfast.py:2525(solveFullIK_TranslationDirection5D)
        1    0.008    0.008  738.516  738.516 ikfast.py:4712(solveLiWoernleHiller)
        1    0.135    0.135  699.953  699.953 ikfast.py:8929(SolvePairVariablesHalfAngle)
31374858/62657  181.869    0.000  601.190    0.010 expr.py:1869(expand)
48803/43408    2.273    0.000  323.168    0.007 add.py:457(_eval_expand_mul)
1633223/1599027   10.714    0.000  319.290    0.000 mul.py:570(_eval_expand_mul)
61687541/53869516   62.170    0.000  289.137    0.000 cache.py:74(wrapper)
     3735    0.011    0.000  112.812    0.030 polytools.py:80(__new__)
     3718    0.005    0.000  112.492    0.030 polytools.py:205(_from_expr)
4545251/4543216   13.140    0.000  101.942    0.000 power.py:344(_eval_expand_multinomial)
522959/515105    1.772    0.000   97.476    0.000 operations.py:27(__new__)
4623230/4621130    9.433    0.000   91.915    0.000 power.py:262(_eval_expand_power_exp)
     3820    0.014    0.000   83.163    0.022 polyutils.py:283(_dict_from_expr)
53775/48087    2.118    0.000   76.777    0.002 add.py:467(_eval_expand_multinomial)
1647439/1611392   10.199    0.000   73.575    0.000 mul.py:599(_eval_expand_multinomial)
48537/47962    2.163    0.000   73.447    0.002 add.py:437(_eval_expand_power_exp)
1667740/1666271   10.582    0.000   70.101    0.000 mul.py:550(_eval_expand_power_exp)
479726/474397   14.094    0.000   67.317    0.000 mul.py:28(flatten)
62422852/62187656   36.284    0.000   63.208    0.000 {map}
  4623230    8.169    0.000   57.806    0.000 power.py:279(_eval_expand_power_base)
    37725    0.088    0.000   56.464    0.001 polynomialring.py:50(to_sympy)
    16438    0.052    0.000   55.044    0.003 polytools.py:758(terms)
48537/48468    2.083    0.000   52.473    0.001 add.py:447(_eval_expand_power_base)
 45385175   16.229    0.000   50.382    0.000 numbers.py:1126(__hash__)
1667740/1667739   10.204    0.000   49.544    0.000 mul.py:560(_eval_expand_power_base)
    40620    6.713    0.000   45.761    0.001 polyutils.py:298(expr_from_dict)
 57889883   18.317    0.000   44.337    0.000 numbers.py:819(__hash__)
6229/4671    0.320    0.000   43.134    0.009 mul.py:521(_expandsums)
54568/48725    2.096    0.000   39.509    0.001 add.py:477(_eval_expand_log)
1649660/1613520    9.756    0.000   36.229    0.000 mul.py:609(_eval_expand_log)
54568/48725    2.003    0.000   36.115    0.001 add.py:427(_eval_expand_basic)
1844394/1720529    0.961    0.000   33.430    0.000 decorators.py:72(__sympifyit_wrapper)
1649660/1613520    9.608    0.000   33.330    0.000 mul.py:540(_eval_expand_basic)
4546033/4545251   13.343    0.000   31.316    0.000 power.py:488(_eval_expand_log)
4546033/4545251   13.014    0.000   30.049    0.000 power.py:252(_eval_expand_basic)
189190450/188903174   28.966    0.000   29.800    0.000 {getattr}
     3680    0.015    0.000   29.351    0.008 polytools.py:139(_from_dict)
     3984    0.020    0.000   29.259    0.007 constructor.py:195(construct_domain)
     1154    0.040    0.000   29.182    0.025 constructor.py:99(_construct_composite)
188446161/164553605   22.131    0.000   26.996    0.000 basic.py:179(__hash__)
884397/878759    0.454    0.000   26.942    0.000 decorators.py:106(binary_op_wrapper)
